mandal_id,elevation_m,slope_deg,twi
KRISHNA|MACHILIPATNAM,5.0,1.5,11.0
KRISHNA|CHALLAPALLE,8.0,1.5,11.0
KRISHNA|MOPIDEVI,9.0,1.5,11.0
KRISHNA|AVANIGADDA,9.0,1.5,11.0
KRISHNA|NAGAYALANKA,3.0,1.5,11.0
KRISHNA|KODURU,5.0,1.5,11.0
GUNTUR|MACHERLA,151.0,1.5,11.0
GUNTUR|VELDURTHI,203.0,1.5,11.0
GUNTUR|DURGI,196.0,1.5,11.0
GUNTUR|RENTACHINTALA,102.0,1.5,11.0
GUNTUR|GURAZALA,108.0,1.5,11.0
GUNTUR|DACHEPALLE,85.0,1.5,11.0
GUNTUR|KAREMPUDI,130.0,1.5,11.0
GUNTUR|PIDUGURALLA,115.0,1.5,11.0
GUNTUR|MACHAVARAM,87.0,1.5,11.0
GUNTUR|BELLAMKONDA,115.0,1.5,11.0
GUNTUR|ATCHAMPET,43.0,1.5,11.0
GUNTUR|KROSURU,52.0,1.5,11.0
GUNTUR|AMARAVATHI,42.0,1.5,11.0
GUNTUR|THULLUR,27.0,1.5,11.0
GUNTUR|TADEPALLE,25.0,1.5,11.0
GUNTUR|MANGALAGIRI,65.0,1.5,11.0
GUNTUR|TADIKONDA,66.0,1.5,11.0
GUNTUR|PEDAKURAPADU,51.0,1.5,11.0
GUNTUR|SATTENAPALLE,60.0,1.5,11.0
GUNTUR|RAJUPALEM,136.0,1.5,11.0
GUNTUR|NEKARIKALLU,119.0,1.5,11.0
GUNTUR|BOLLAPALLE,474.0,1.5,11.0
GUNTUR|VINUKONDA,73.0,1.5,11.0
GUNTUR|NUZENDLA,96.0,1.5,11.0
GUNTUR|SAVALYAPURAM H/O KANAMARLAPUDI,100.0,1.5,11.0
GUNTUR|IPUR,115.0,1.5,11.0
GUNTUR|ROMPICHERLA,94.0,1.5,11.0
GUNTUR|NARASARAOPET,74.0,1.5,11.0
GUNTUR|MUPPALLA,84.0,1.5,11.0
GUNTUR|NADENDLA,50.0,1.5,11.0
GUNTUR|CHILAKALURIPET H/O.PURUSHOTH*,35.0,1.5,11.0
GUNTUR|EDLAPADU,60.0,1.5,11.0
GUNTUR|PHIRANGIPURAM,63.0,1.5,11.0
GUNTUR|MEDIKONDURU,48.0,1.5,11.0
GUNTUR|GUNTUR,32.0,1.5,11.0
GUNTUR|PEDAKAKANI,15.0,1.5,11.0
GUNTUR|DUGGIRALA,14.0,1.5,11.0
GUNTUR|KOLLIPARA,11.0,1.5,11.0
GUNTUR|TENALI,17.0,1.5,11.0
GUNTUR|CHEBROLU,15.0,1.5,11.0
GUNTUR|VATTICHERUKURU,12.0,1.5,11.0
GUNTUR|PRATHIPADU,26.0,1.5,11.0
GUNTUR|PEDANANDIPADU,14.0,1.5,11.0
GUNTUR|KAKUMANU,11.0,1.5,11.0
GUNTUR|PONNUR,6.0,1.5,11.0
GUNTUR|TSUNDUR,7.0,1.5,11.0
GUNTUR|AMRUTHALUR,8.0,1.5,11.0
GUNTUR|VEMURU,8.0,1.5,11.0
GUNTUR|KOLLUR,10.0,1.5,11.0
GUNTUR|BHATTIPROLU,7.0,1.5,11.0
GUNTUR|CHERUKUPALLE H/O ARUMBAKA,4.0,1.5,11.0
GUNTUR|PITTALAVANIPALEM,9.0,1.5,11.0
GUNTUR|KARLAPALEM,3.0,1.5,11.0
GUNTUR|BAPATLA,7.0,1.5,11.0
GUNTUR|NIZAMPATNAM,5.0,1.5,11.0
GUNTUR|NAGARAM,3.0,1.5,11.0
GUNTUR|REPALLE,5.0,1.5,11.0
PRAKASAM|YERRAGONDAPALEM,196.0,2.5,9.0
PRAKASAM|PULLALACHERUVU,192.0,2.5,9.0
PRAKASAM|TRIPURANTHAKAM,130.0,2.5,9.0
PRAKASAM|DORNALA,221.0,2.5,9.0
PRAKASAM|PEDA ARAVEEDU,182.0,2.5,9.0
PRAKASAM|DONAKONDA,144.0,2.5,9.0
PRAKASAM|KURICHEDU,125.0,2.5,9.0
PRAKASAM|SANTHAMAGULURU,69.0,2.5,9.0
PRAKASAM|BALLIKURAVA,50.0,2.5,9.0
PRAKASAM|MARTUR,48.0,2.5,9.0
PRAKASAM|YEDDANA PUDI,27.0,2.5,9.0
PRAKASAM|PARCHUR,9.0,2.5,9.0
PRAKASAM|KARAMCHEDU,4.0,2.5,9.0
PRAKASAM|INKOLLU,18.0,2.5,9.0
PRAKASAM|JANAKAVARAMPANGULURU,38.0,2.5,9.0
PRAKASAM|ADDANKI,26.0,2.5,9.0
PRAKASAM|MUNDLAMURU,61.0,2.5,9.0
PRAKASAM|DARSI,115.0,2.5,9.0
PRAKASAM|MARKAPUR,142.0,2.5,9.0
PRAKASAM|ARDHAVEEDU,224.0,2.5,9.0
PRAKASAM|CUMBUM,187.0,2.5,9.0
PRAKASAM|TARLUPADU,180.0,2.5,9.0
PRAKASAM|KONAKANAMITLA,140.0,2.5,9.0
PRAKASAM|PODILI,88.0,2.5,9.0
PRAKASAM|THALLUR,60.0,2.5,9.0
PRAKASAM|KORISAPADU,30.0,2.5,9.0
PRAKASAM|CHIRALA,9.0,2.5,9.0
PRAKASAM|VETAPALEM,9.0,2.5,9.0
PRAKASAM|CHINAGANJAM,2.0,2.5,9.0
PRAKASAM|NAGULUPPALA PADU,8.0,2.5,9.0
PRAKASAM|MADDIPADU,17.0,2.5,9.0
PRAKASAM|CHIMAKURTHI,56.0,2.5,9.0
PRAKASAM|MARRIPUDI,64.0,2.5,9.0
PRAKASAM|HANUMANTHUNI PADU,137.0,2.5,9.0
PRAKASAM|BESTAWARIPETA,620.0,2.5,9.0
PRAKASAM|RACHERLA,241.0,2.5,9.0
PRAKASAM|GIDDALUR,317.0,2.5,9.0
PRAKASAM|KOMAROLU,260.0,2.5,9.0
PRAKASAM|VELIGANDLA,138.0,2.5,9.0
PRAKASAM|KANIGIRI,101.0,2.5,9.0
PRAKASAM|KONDAPI,30.0,2.5,9.0
PRAKASAM|SANTHANUTHALA PADU,40.0,2.5,9.0
PRAKASAM|ONGOLE,8.0,2.5,9.0
PRAKASAM|KOTHA PATNAM,6.0,2.5,9.0
PRAKASAM|TANGUTUR,11.0,2.5,9.0
PRAKASAM|ZARUGUMILLI,23.0,2.5,9.0
PRAKASAM|PONNALURU,45.0,2.5,9.0
PRAKASAM|PEDACHERLO PALLE,77.0,2.5,9.0
PRAKASAM|CHANDRA SEKHARA PURAM,231.0,2.5,9.0
PRAKASAM|PAMUR,111.0,2.5,9.0
PRAKASAM|VOLETIVARIPALEM,52.0,2.5,9.0
PRAKASAM|KANDUKUR,26.0,2.5,9.0
PRAKASAM|SINGARAYAKONDA,14.0,2.5,9.0
PRAKASAM|LINGASAMUDRAM,39.0,2.5,9.0
PRAKASAM|GUDLURU,24.0,2.5,9.0
PRAKASAM|ULAVAPADU,15.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|SEETHARAMAPURAM,215.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|UDAYAGIRI,150.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|VARIKUNTAPADU,117.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|KONDAPURAM,49.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|JALADANKI,24.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|KAVALI,34.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|BOGOLE,11.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|KALIGIRI,70.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|VINJAMUR,114.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|DUTTALUR,131.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|MARRIPADU,127.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|ATMAKUR,62.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|ANUMASAMUDRAMPETA,49.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|DAGADARTHI,26.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|ALLUR,4.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|VIDAVALUR,5.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|KODAVALUR,14.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|BUCHIREDDIPALEM,26.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|SANGAM,36.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|CHEJERLA,70.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|ANANTHASAGARAM,179.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|KALUVOYA,97.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|RAPUR,78.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|PODALAKUR,60.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|NELLORE,34.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|KOVUR,16.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|INDUKURPET,6.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|THOTAPALLIGUDUR,7.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|MUTHUKUR,9.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|VENKATACHALAM,39.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|MANUBOLU,11.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|GUDUR,16.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|SYDAPURAM,65.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|DAKKILI,47.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|VENKATAGIRI,68.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|BALAYAPALLE,47.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|OJILI,42.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|CHILLAKUR,7.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|KOTA,2.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|VAKADU,7.0,2.5,9.0
SRI POTTI SRIRAMULU NELLORE|CHITTAMUR,17.0,2.5,9.0
