mandal_id,mandal_name,district,grace_gws_anom_cm,grace_gws_pctl,rootzone_pctl,surface_pctl,rain_1m_mm,rain_3m_mm,et_1m_mm,water_balance_mm,specific_yield,elevation_m,slope_deg,twi,phys_level_change_m,month_sin,month_cos,lat,lon,aquifer_type,has_sensor
VISAKHAPATNAM|KOYYURU,Koyyuru,Visakhapatnam,9.86,99.3,94.1,97.7,10.9,26.2,86.1,603.4,0.08,436.0,2.5,9.0,1.232,1.0,0.0,17.7151,82.266,coastal,False
VISAKHAPATNAM|NATHAVARAM,Nathavaram,Visakhapatnam,9.86,99.3,94.1,97.7,6.5,15.6,86.1,462.5,0.08,82.0,2.5,9.0,1.232,1.0,0.0,17.5429,82.48,coastal,False
VISAKHAPATNAM|GOLUGONDA,Golugonda,Visakhapatnam,9.86,99.3,94.1,97.7,8.6,20.6,86.1,551.7,0.08,124.0,2.5,9.0,1.232,1.0,0.0,17.6753,82.4764,coastal,False
VISAKHAPATNAM|NARSIPATNAM,Narsipatnam,Visakhapatnam,9.86,99.3,94.1,97.7,8.6,20.6,86.1,463.7,0.08,72.0,2.5,9.0,1.232,1.0,0.0,17.6471,82.6088,coastal,False
VISAKHAPATNAM|ROLUGUNTA,Rolugunta,Visakhapatnam,9.86,99.3,94.1,97.7,9.1,21.8,86.1,556.6,0.08,78.0,2.5,9.0,1.232,1.0,0.0,17.7243,82.6754,coastal,False
VISAKHAPATNAM|RAVIKAMATHAM,Ravikamatham,Visakhapatnam,9.86,99.3,94.1,97.7,10.4,25.0,86.1,603.1,0.08,115.0,2.5,9.0,1.232,1.0,0.0,17.7956,82.7585,coastal,False
VISAKHAPATNAM|MADUGULA,Madugula,Visakhapatnam,9.86,99.3,94.1,97.7,9.4,22.6,86.1,715.4,0.08,100.0,2.5,9.0,1.232,1.0,0.0,17.8905,82.7469,coastal,False
VISAKHAPATNAM|CHEEDIKADA,Cheedikada,Visakhapatnam,9.86,99.3,94.1,97.7,5.0,12.0,86.1,741.3,0.08,94.0,2.5,9.0,1.232,1.0,0.0,17.945,82.8796,coastal,False
VISAKHAPATNAM|DEVARAPALLE,Devarapalle,Visakhapatnam,9.86,99.3,94.1,97.7,4.4,10.6,86.1,755.4,0.08,105.0,2.5,9.0,1.232,1.0,0.0,17.9912,82.9802,coastal,False
VISAKHAPATNAM|K.KOTAPADU,K.Kotapadu,Visakhapatnam,9.86,99.3,94.1,97.7,6.8,16.3,86.1,663.2,0.08,79.0,2.5,9.0,1.232,1.0,0.0,17.9156,83.053,coastal,False
VISAKHAPATNAM|SABBAVARAM,Sabbavaram,Visakhapatnam,9.86,99.3,94.1,97.7,6.8,16.3,86.1,524.2,0.08,67.0,2.5,9.0,1.232,1.0,0.0,17.7879,83.0943,coastal,False
VISAKHAPATNAM|PENDURTHI,Pendurthi,Visakhapatnam,9.86,99.3,94.1,97.7,7.5,18.0,86.1,435.8,0.08,39.0,2.5,9.0,1.232,1.0,0.0,17.8192,83.2055,coastal,False
VISAKHAPATNAM|ANANDAPURAM,Anandapuram,Visakhapatnam,9.86,99.3,94.1,97.7,5.2,12.5,86.1,499.7,0.08,58.0,2.5,9.0,1.232,1.0,0.0,17.8984,83.3041,coastal,False
VISAKHAPATNAM|PADMANABHAM,Padmanabham,Visakhapatnam,9.86,99.3,94.1,97.7,5.5,13.2,86.1,565.7,0.08,31.0,2.5,9.0,1.232,1.0,0.0,18.0052,83.333,coastal,False
VISAKHAPATNAM|BHEEMUNIPATNAM,Bheemunipatnam,Visakhapatnam,9.86,99.3,94.1,97.7,5.0,12.0,86.1,450.3,0.08,8.0,2.5,9.0,1.232,1.0,0.0,17.9306,83.4164,coastal,False
VISAKHAPATNAM|VISAKHAPATNAM (RURAL),Visakhapatnam (Rural),Visakhapatnam,9.86,99.3,94.1,97.7,3.0,7.2,86.1,431.7,0.08,118.0,2.5,9.0,1.232,1.0,0.0,17.7966,83.313,coastal,False
VISAKHAPATNAM|VISAKHAPATNAM (URBAN),Visakhapatnam (Urban),Visakhapatnam,9.86,99.3,94.1,97.7,4.8,11.5,86.1,327.8,0.08,92.0,2.5,9.0,1.232,1.0,0.0,17.7467,83.3015,coastal,False
VISAKHAPATNAM|PEDAGANTYADA,Pedagantyada,Visakhapatnam,9.86,99.3,94.1,97.7,8.9,21.4,86.1,211.4,0.08,16.0,2.5,9.0,1.232,1.0,0.0,17.6174,83.1743,coastal,False
VISAKHAPATNAM|GAJUWAKA,Gajuwaka,Visakhapatnam,9.86,99.3,94.1,97.7,8.3,19.9,86.1,302.5,0.08,19.0,2.5,9.0,1.232,1.0,0.0,17.6856,83.1916,coastal,False
VISAKHAPATNAM|PARAVADA,Paravada,Visakhapatnam,9.86,99.3,94.1,97.7,3.8,9.1,86.1,312.8,0.08,36.0,2.5,9.0,1.232,1.0,0.0,17.6293,83.095,coastal,False
VISAKHAPATNAM|ANAKAPALLE,Anakapalle,Visakhapatnam,9.86,99.3,94.1,97.7,13.0,31.2,86.1,483.5,0.08,34.0,2.5,9.0,1.232,1.0,0.0,17.7204,82.9977,coastal,False
VISAKHAPATNAM|CHODAVARAM,Chodavaram,Visakhapatnam,9.86,99.3,94.1,97.7,13.3,31.9,86.1,631.7,0.08,52.0,2.5,9.0,1.232,1.0,0.0,17.8319,82.973,coastal,False
VISAKHAPATNAM|BUTCHAYYAPETA,Butchayyapeta,Visakhapatnam,9.86,99.3,94.1,97.7,7.4,17.8,86.1,609.5,0.08,77.0,2.5,9.0,1.232,1.0,0.0,17.787,82.856,coastal,False
VISAKHAPATNAM|KOTAURATLA,Kotauratla,Visakhapatnam,9.86,99.3,94.1,97.7,8.0,19.2,86.1,365.4,0.08,85.0,2.5,9.0,1.232,1.0,0.0,17.5528,82.67,coastal,False
VISAKHAPATNAM|MAKAVARAPALEM,Makavarapalem,Visakhapatnam,9.86,99.3,94.1,97.7,8.6,20.6,86.1,419.7,0.08,86.0,2.5,9.0,1.232,1.0,0.0,17.642,82.7281,coastal,False
VISAKHAPATNAM|KASIMKOTA,Kasimkota,Visakhapatnam,9.86,99.3,94.1,97.7,7.4,17.8,86.1,410.9,0.08,65.0,2.5,9.0,1.232,1.0,0.0,17.6557,82.8777,coastal,False
VISAKHAPATNAM|MUNAGAPAKA,Munagapaka,Visakhapatnam,9.86,99.3,94.1,97.7,2.0,4.8,86.1,330.6,0.08,22.0,2.5,9.0,1.232,1.0,0.0,17.6222,82.973,coastal,False
VISAKHAPATNAM|ATCHUTAPURAM,Atchutapuram,Visakhapatnam,9.86,99.3,94.1,97.7,7.7,18.5,86.1,262.5,0.08,37.0,2.5,9.0,1.232,1.0,0.0,17.5703,83.0029,coastal,False
VISAKHAPATNAM|YELAMANCHILI,Yelamanchili,Visakhapatnam,9.86,99.3,94.1,97.7,5.5,13.2,86.1,286.4,0.08,223.0,2.5,9.0,1.232,1.0,0.0,17.5413,82.8174,coastal,False
VISAKHAPATNAM|NAKKAPALLE,Nakkapalle,Visakhapatnam,9.86,99.3,94.1,97.7,4.0,9.6,86.1,211.9,0.08,28.0,2.5,9.0,1.232,1.0,0.0,17.4171,82.6495,coastal,False
VISAKHAPATNAM|PAYAKARAOPETA,Payakaraopeta,Visakhapatnam,9.86,99.3,94.1,97.7,7.8,18.7,86.1,158.3,0.08,17.0,2.5,9.0,1.232,1.0,0.0,17.3406,82.577,coastal,False
VISAKHAPATNAM|S.RAYAVARAM,S.Rayavaram,Visakhapatnam,9.86,99.3,94.1,97.7,6.5,15.6,86.1,147.1,0.08,13.0,2.5,9.0,1.232,1.0,0.0,17.4663,82.7963,coastal,False
VISAKHAPATNAM|RAMBILLI,Rambilli,Visakhapatnam,9.86,99.3,94.1,97.7,4.7,11.3,86.1,192.4,0.08,7.0,2.5,9.0,1.232,1.0,0.0,17.5136,82.9215,coastal,False
EAST GODAVARI|NELLIPAKA,Nellipaka,East Godavari,9.6,98.0,87.5,94.3,3.4,8.2,88.8,407.7,0.11,79.0,1.5,11.0,0.873,1.0,0.0,17.7005,81.0058,alluvial,False
EAST GODAVARI|KUNAVARAM,Kunavaram,East Godavari,9.6,98.0,87.5,94.3,3.4,8.2,88.8,536.6,0.11,204.0,1.5,11.0,0.873,1.0,0.0,17.6711,81.2518,alluvial,False
